objectid,parentid,filename,title,date,description,subject,text,genre,measurements,material,inspiration,note,language,format,filesize,filedate,rights,rightsstatement
fbs_00_04,,fbs_00_04.jpg,"""Riot faerie"" [Sketches in pen]",2026-03-15,"""On a purple sticky note is 2 drawings in black pen of a fairy with messy pigtails and a 'Grrrl' t-shirt. On the pink sticky note is a cartoon in black pen of Kurusu laughing in the driver's seat of a convertible, presumably a getway car, long hair flowing in the wind. In their glee, they have abandoned the steering wheel, forcing Akechi to grab it from the passenger seat, an annoyed scowl on his face. The text below the cartoon is at odds with his expression and betray his fondness. On the memo pad paper beneath are several doodles in black pen: Akechi hunched over, depressed; below is another angle of the Kurusu and Akechi sticky note drawing; at the bottom of the page, a doodle of 3 cats, half covered-up by a sticky note.""",fairies; riot grrrl movement; Kurusu Akira; Akechi Goro; AkeShu (relationship); drag performance; cats; anxiety; queer desire,"""[on sticky note] Riot faerie""; ""[on sticky note] [Akira:] HAHAHAHAA / [Akechi's narration] ooo I'm so far gone.""; ""[at top of page] I'm always nervous.""; ""[below on page] [Akechi's narration] What you do to me is indescribable""",cartoon; doodle,8 inch x 5 inch,pen/Wite-Out/paper,Akechi Goro (Persona 5); Protagonist (Persona 5),Two Post-It notes on yellow memo pad paper.,eng,image/jpeg,832.1 KB,2026-04-17,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_00,,fbs_01_00.jpg,"""Started on: 2/3/26"" [Inside cover of sketchbook]",2026-02-03,"""A note written in pink pen at the top states the starting date of the sketchbook. Below, a note in the same color ink remarks about the artist's activities at the time. Four sticky notes with various drawings are stuck to the inside cover. A smaller sticky note below features original writing.""",Heartstrings (comic); fan art; songs--texts,"""[at top of cover] Started on: 2/3/26 finished on: ""; ""I'd also like to say I'm off of 100 mg & watching Silent Hill 3. I'm so scared. It's awesome.""; ""[on smaller sticky note] whats crazy is ... I have it. tha[t] instinct. so[cuts-off] Its like I can ... the blood in t[cuts-off] So, I bite. & I c[cuts-off] let go.""",various,12 inch x 9 inch,pen/tape/Wite-Out/paper,various,See attached records for descriptions of individual drawings.,eng,image/jpeg,1.1 MB,2026-04-18,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_00a,fbs_01_00,fbs_01_00a.jpg,"""Mom, I'm tired."" [Jude cartoon]",2026-02-20,"""In this pen drawing on neon green paper, Jude is on her knees, hunched over in defeat. Her eyes are closed as she frowns, weighed down by sadness. The lyric provides context for her exhaustion.""",Jude Levesque; Heartstrings (comic); Mitski; grief; nostalgia,"""Mom, I'm tired. Can I sleep in your house tonight?""",cartoon; doodle,3 inch x 3 inch,pen/paper,Class of 2013 (Mitski),Taped to the inside cover of sketchbook.,eng,image/jpeg,349.9 KB,2026-04-19,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_00b,fbs_01_00,fbs_01_00b.jpg,"""I'm probably a transmasc butch but...""",2026-02-23,"""In this cartoon drawn in blue ink on teal paper, a side-view portrait of Alexis thinks to herself about her gender.""",Alexis Mendoza; Heartstrings (comic); gender identity; gender nonconformity,"""[in thought bubble] I’m probably a transmasc butch but I have a thesis to finish so IDGAF[I don’t give a fuck] about that right now.""",cartoon,3 inch x 3 inch,pen/paper,A 2022 tweet by user ScaredAsian.,Taped to the inside cover of sketchbook.,eng,image/jpeg,408.3 KB,2026-04-20,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_00c,fbs_01_00,fbs_01_00c.jpg,"""I’D probably be happier dating a woman…""",2026-02-23,"""In this cartoon drawn in blue ink on teal paper, a side-view portrait of Jude thinks to herself about her sexuality. Wite-Out was used to omit a mistake in the first thought bubble.""",Jude Levesque; compulsory heterosexuality; Heartstrings (comic),"""[in thought bubble] …"" ; ""[in thought bubble] I’D probably be happier dating a woman but I have to reenroll in my programs & IDGAF[I don’t give a fuck] about that RN[right now]""",cartoon,3 inch x 3 inch,pen/Wite-Out/paper,A 2022 tweet by user ScaredAsian.,Taped to the inside cover of sketchbook.,eng,image/jpeg,466.2 KB,2026-04-21,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_00d,fbs_01_00,fbs_01_00d.jpg,"""Hey, man, we all cant be like you""",2026-02-26,"""A two panel comic of Akechi and Kurusu on a date at the aquarium, drawn in black ink on teal paper. The lyrics above and below provide context for the scene. Kurusu watches fish swim in the tank; Akechi watches her, yearning for and envying her with her simple joy. Blush was drawn on both faces in pink marker. Additional text was omitted using Wite-Out.""",fan art; Akechi Goro; Kurusu Akira; Paramore; AkeShu (relationship); queer desire,"""[above panel 1] Hey, man, we all cant be like you / I wish we were all rose colored too [below panel 2]""",comic,3 inch x 3 inch,marker/Wite-Out/pen/paper,Rose-Colored Boy (Paramore); Akechi Goro (Persona 5); Protagonist (Persona 5),Taped to the inside cover of sketchbook.,eng,image/jpeg,471.8 KB,2026-04-21,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_0xa,,fbs_01_0xa.jpg,"""I kiss her and know he's done this too""",2026-02-10,"""The first half of the page includes a two panel comic of Akechi kissing Kurusu. The first panel is mostly un-inked and sketched in pencil. Akechi holds Kurusu's face in his gloved hand, the only object in the panel inked in black marker. The second panel, a close-up on Akechi's hand on Kurusu's chin and their smirking red lips, is rendered in full color. The text above and below narrate Akechi's conflicting feelings and jealousy. On the other half of the page is a portrait in marker of Akechi adjusting his glove. His face is drawn on an additional piece of paper that has been taped to the page as a new layer.""",fan art; Akechi Goro; Kurusu Akira; AkeShu (relationship); jealousy; queer desire,"""[above panel 1] I KISS HER & KNOW HE'S DONE THIS TOO / & I CAN'T HELP BUT FEEL [unintelligible] [below panel 2]""",comic; illustration,12 inch x 9 inch,marker/tape/pencil/blue pencil/sketch paper,Akechi Goro (Persona 5); Protagonist (Persona 5),Unfinished. Torn out of sketchbook and stored inside back cover.,eng,image/jpeg,1.1 MB,2026-04-21,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_0xb,,fbs_01_0xb.jpg,[Textless AkeShu comic],2026-02-12,"""The first half of the page features a textless two panel comic of Akechi and Kurusu in pen and marker. In the first panel, Akechi says something to Kurusu; the blank speech bubble leaves this to the reader's imagination. The second panel is a close-up of Kurusu's reaction to whatever Akechi said: their eyes intense and brow furrowed, likely in irritation or hurt. On the other half of the page is a drawing in marker of Kurusu in their school uniform, their expression unreadable due to the glare on their glasses. The bottom half of the drawing is unfinished and drawn only in pencil.""",fan art; Akechi Goro; Kurusu Akira; AkeShu (relationship),,comic; illustration,12 inch x 9 inch,marker/pen/pencil/sketch paper,Akechi Goro (Persona 5); Protagonist (Persona 5),Torn out of sketchbook and stored inside back cover.,,image/jpeg,851.2 KB,2026-04-21,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_0xd,,fbs_01_0xd.jpg,[Assorted illustrations],2026-03-17,"""Various doodles in pen and marker: an enraged Akechi in black pen; in blue pen, a side-view of Jude with pleading eyes; in yellow and pink, Akechi and Kurusu in a getaway car, Kurusu forcing Akechi to take the wheel from the passanger seat as they change their outfit; a half-drawn continutation of this cartoon can be seen--it is drawn over in marker by a half-finished and a fully finished version of a man's face; a loose sketch of Johnny Joestar in black pen; and a drawing in marker of Petra looking annoyed as she introduces herself in narration.""",Petra Reyes; October Dusk (comic); fan art; Akechi Goro; Kurusu Akira; AkeShu (relationship); Johnny Joestar; Ricky Montgomery; drag performance; punk culture,"""[sideways] black fins, full of life   then suddenly its gone again""; ""[describing Jude] big 'ol eyes""; ""[in speech bubble 1] be a gentleman & drive, will you? / The Lady has to change [in speech bubble 2]""; ""[next to Johnny] wait""; ""[next to abandoned sketch] Nope.""; ""[under half-finished face] oh.""; ""[Petra's narration] mi nombre es Petra Reyes. y hasta hoy era una chica, común y corriente""",cartoon; doodle,12 inch x 9 inch,marker/pen/sketch paper,Akechi Goro (Persona 5); Protagonist (Persona 5); Johnny Joestar (Jojo's Bizarre Adventure); Black Fins (Ricky Montgomery),Torn out of sketchbook and stored inside back cover. The first inscription is a song lyric; all other inscriptions are original.,eng; esp,image/jpeg,1.1 MB,2026-04-21,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
fbs_01_04,,fbs_01_04.jpg,"""You get a front row seat..."" [Akechi illustration]",2026-02-05,"""Two drawings in pen and marker of Akechi, surrounded by word art. In one, he stands giving a speech at a podium, eyes covered by shadow with a slight smirk. In the other, he winks with a smile as he holds up a sign in one hand.""",fan art; Akechi Goro; Addison Rae; fame,"""YOU GET A FRONT ROW SEAT / AND I-""; ""I GET A TASTE OF THE GLAMOROUS LIFE [repeated 5 times, cut-off by Akechi's head]""; ""[on sign] AND WHEN YOU SHAME ME, IT MAKES ME WANT IT MOR[E]""",illustration,12 inch x 9 inch,marker/pen/pencil/sketch paper,Fame is a Gun (Addison Rae); Akechi Goro (Persona 5),,eng,image/jpeg,2.1 MB,2026-04-21,"This material may be used for educational purposes only. Educational use includes non-commercial use of images in materials for teaching or research purposes only. For all other uses, please contact the artist at fratboystrider.carrd.co/#about.",https://rightsstatements.org/vocab/InC-EDU/1.0/
